Dokument ID,Jahr_ED,Gattungslabel_ED_normalisiert,Medium_ED,Medientyp_ED,seriell,Gender
00616-01,1864,N,Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 1 ,Familienblatt,True,m
00616-02,1864,N,Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 2 ,Familienblatt,True,
00616-03,1864,N,Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 3 ,Familienblatt,True,f
00616-04,1864,N,Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 4 ,Familienblatt,True,m
00616-05,1864,N,Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 5 ,Familienblatt,True,m
00616-06,1864,N,Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 6 ,Familienblatt,True,m
00617-00,1864,0P,Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 1,Familienblatt,True,m
00617-01,1864,0P,Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 1,Familienblatt,True,f
00617-02,1864,0P,Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 2,Familienblatt,True,f
00617-03,1864,0P,Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 3,Familienblatt,True,m
00617-04,1864,0P,Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 4 ,Familienblatt,True,m
00617-05,1864,0P,Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 5 ,Familienblatt,True,f
00617-06,1864,0P,Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 6 ,Familienblatt,True,m
00617-07,1864,0P,Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 7,Familienblatt,True,m
00617-08,1864,0P,Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 8,Familienblatt,True,m
00618-00,1864,0E,Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 1,Familienblatt,True,m
00619-00,1864,0E,Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 2,Familienblatt,True,unbekannt
00620-00,1864,0E,Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 3,Familienblatt,True,m
00621-00,1864,0PA,Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 3,Familienblatt,True,m
00622-00,1864,0PA,Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 3,Familienblatt,True,m
00623-00,1864,0E,Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 4 ,Familienblatt,True,m
00624-00,1864,0PA,Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 4 ,Familienblatt,True,m
00625-00,1864,E,Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 7,Familienblatt,True,m
00625-01,1864,E,Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 7,Familienblatt,True,m
00625-02,1864,E,Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 8,Familienblatt,True,m
00625-03,1864,E,Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 9,Familienblatt,True,m
00625-04,1864,E,Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 10,Familienblatt,True,m
00625-05,1864,E,Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 11,Familienblatt,True,m
00625-06,1864,E,Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 12,Familienblatt,True,m
00626-00,1864,0PA,Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 7,Familienblatt,True,m
00627-00,1864,0E,Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 8,Familienblatt,True,m
00728-00,1866,0E,Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 4 / Jg. 2.,Familienblatt,True,m
00728-01,1866,0E,Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 4 / Jg. 2.,Familienblatt,True,m
